taxa,species,Lon,Lat,MS_biogeo05_dist_shore,MS_bathy,MS_biogeo13_sst_mean,MS_biogeo14_sst_min,MS_biogeo15_sst_max,MS_biogeo16_sst_range,MS_biogeo17_sst_variance,BO22_parmean,BO22_nitratemax_ss,BO22_nitratemean_ss,BO22_nitratemin_ss,BO22_nitraterange_ss,BO22_nitrateltmin_ss,BO22_nitrateltmax_ss,BO22_phosphatemax_ss,BO22_phosphatemean_ss,BO22_phosphatemin_ss,BO22_phosphaterange_ss,BO22_phosphateltmax_ss,BO22_phosphateltmin_ss,BO22_ppmax_ss,BO22_ppmean_ss,BO22_ppmin_ss,BO22_pprange_ss,BO22_ppltmax_ss,BO22_ppltmin_ss,WC_bio1,WC_bio5,WC_bio6,WC_bio7,WC_bio8,WC_bio9,WC_bio10,WC_bio11,WC_bio12,WC_bio13,WC_bio14,WC_bio16,WC_bio17,WC_bio18,WC_bio19,WC_alt,ac85bi701,ac85bi705,ac85bi706,ac85bi707,ac85bi708,ac85bi709,ac85bi7010,ac85bi7011,ac85bi7012,ac85bi7013,ac85bi7014,ac85bi7016,ac85bi7017,ac85bi7018,ac85bi7019,ac85bi501,ac85bi505,ac85bi506,ac85bi507,ac85bi508,ac85bi509,ac85bi5010,ac85bi5011,ac85bi5012,ac85bi5013,ac85bi5014,ac85bi5016,ac85bi5017,ac85bi5018,ac85bi5019
Cyanobacteria,Nodularia spumigena,19.50667,63.53999,2,-6,5.809999943,-0.47,17.21,17.68,38.74,34.241,2.554,0.979,0.078,2.476,0.371,1.809,0.203,0.038,0,0.203,0.112,0.001,0.012,0.005,0.001,0.011,0.01,0.001,2.7,20.7,-13.8,34.5,13.1,-4.1,14.5,-8.7,585,71,33,194,101,176,129,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanobacteria,Nodularia spumigena,11.24,58.3537,2,-15,9.880000114,1.84,19.06,17.22,35.513,34.242,2.035,0.424,0.005,2.03,0.013,1.57,0.264,0.123,0.01,0.253,0.21,0.051,0.019,0.008,0.002,0.017,0.013,0.004,7.4,19.5,-3.6,23.1,12.6,1.6,15.7,-0.5,710,85,36,237,119,196,148,6,112,247,-8,255,82,202,202,31,699,93,33,255,116,116,197,101,229,-14,243,74,40,189,19,762,101,38,265,144,156,145
Cyanobacteria,Nodularia spumigena,14.8236,56.1115,3,-12,9,1.4,19.21,17.8,36.779,32.357,0.285,0.089,0.033,0.252,0.038,0.185,0.553,0.373,0.224,0.33,0.419,0.324,0.01,0.005,0.002,0.008,0.009,0.002,7.8,20.8,-2.7,23.5,15.5,2.3,16.1,0.2,580,65,34,179,105,163,137,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanobacteria,Nodularia spumigena,12.8539,55.8005,5,-10,9.529999733,1.58,18.43,16.85,34.577,33.5,0.294,0.082,0.019,0.274,0.023,0.24,0.478,0.36,0.265,0.213,0.381,0.336,0.008,0.004,0.003,0.005,0.007,0.003,8.1,20.5,-2.7,23.2,15.5,2.7,16.2,0.5,629,67,33,196,110,185,143,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanobacteria,Nodularia spumigena,12.8808,55.5133,4,-4,9.100000381,1.5,18.05,16.55,36.272,33.606,0.188,0.05,0.01,0.178,0.011,0.161,0.519,0.398,0.297,0.222,0.414,0.377,0.005,0.003,0.002,0.004,0.005,0.002,8.2,20.3,-2.3,22.6,15.5,2.9,16.1,0.7,594,64,32,185,106,175,133,1,119,250,5,245,87,206,206,42,626,79,25,214,99,99,140,109,239,-1,240,117,52,196,33,629,70,39,194,125,141,140
Cyanobacteria,Nodularia spumigena,17.62367,58.80333,3,-15,7.900000095,0.94,18.57,17.63,37.51,33.614,0.642,0.11,0.01,0.632,0.013,0.449,0.464,0.245,0.11,0.354,0.314,0.178,0.007,0.003,0.001,0.006,0.006,0.002,7.1,21.9,-4.5,26.4,15.5,1.1,16.6,-1.4,492,58,24,165,80,153,110,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanobacteria,Nodularia spumigena,11.4333,58.2598,1,-19,9.260000229,1.2,19.05,17.85,39.876,32.209,2.141,0.472,0.013,2.128,0.031,1.639,0.266,0.126,0.012,0.254,0.213,0.056,0.019,0.009,0.003,0.016,0.015,0.004,7.2,19.7,-4,23.7,12.3,1.5,15.6,-0.9,719,85,37,239,120,200,152,24,111,248,-12,261,79,201,201,28,711,96,34,258,117,117,203,99,231,-18,250,71,39,188,17,771,101,38,268,145,159,147
Cyanobacteria,Nodularia spumigena,16.51354,58.6469,1,-3,6.730000019,0.35,17.12,16.77,34.015,32.781,0.879,0.191,0.028,0.851,0.032,0.671,0.483,0.253,0.109,0.374,0.324,0.187,0.01,0.005,0.002,0.008,0.009,0.003,6.7,21.8,-5.5,27.3,14.9,0.8,16.1,-1.9,562,65,28,184,93,176,123,35,106,270,-28,298,65,210,210,17,583,80,34,190,109,109,162,94,258,-34,293,57,31,196,6,602,66,35,185,119,139,151
Cyanobacteria,Nodularia spumigena,16.71167,58.40898,1,-6,7.539999962,0.76,17.57,16.81,38.317,34.087,0.922,0.2,0.028,0.894,0.032,0.693,0.489,0.259,0.116,0.373,0.329,0.193,0.01,0.005,0.002,0.008,0.008,0.002,7,21.7,-4.9,26.6,15.1,1.1,16.1,-1.5,543,63,27,177,91,167,121,17,112,273,-17,290,72,215,215,24,547,75,31,182,98,98,153,100,260,-24,284,65,38,200,14,559,61,32,173,111,125,143
Cyanobacteria,Nodularia spumigena,16.72328,58.62248,1,-8,7.119999886,0.5,17.39,16.9,35.291,33.529,0.88,0.193,0.029,0.852,0.033,0.674,0.483,0.253,0.109,0.374,0.324,0.186,0.01,0.005,0.002,0.008,0.009,0.003,6.7,21.7,-5.4,27.1,14.9,0.7,16,-1.9,564,65,28,184,94,176,125,45,111,274,-20,294,71,215,215,22,557,78,31,184,103,103,158,99,261,-27,288,63,37,200,12,575,64,33,179,113,131,147
