species,decimalLongitude,decimalLatitude
Nodularia ,19.50667,63.53999
Nodularia ,11.24,58.3537
Nodularia ,14.8236,56.1115
Nodularia ,12.8539,55.8005
Nodularia ,12.8808,55.5133
Nodularia ,17.62367,58.80333
Nodularia ,11.4333,58.2598
Nodularia ,16.51354,58.6469
Nodularia ,16.71167,58.40898
Nodularia ,16.72328,58.62248
Nodularia ,16.75601,58.10678
Nodularia ,18.91088,57.68525
Nodularia ,18.75732,59.52487
Nodularia ,17.7875,58.84167
Nodularia ,17.7265,58.934
Nodularia ,17.72367,58.98383
Nodularia ,17.72167,59.03667
Nodularia ,17.67667,59.0685
Nodularia ,18.39213,59.22278
Nodularia ,18.5543,59.15906
Nodularia ,18.63224,59.12155
Nodularia ,17.42774,58.77192
Nodularia ,17.6225,59.02448
Nodularia ,13.643,55.3858
Nodularia ,13.0188,55.3471
Nodularia ,12.6521,56.3155
Nodularia ,11.4333,58.2583
Nodularia ,16.64293,58.43786
Nodularia ,18.13118,57.40002
Nodularia ,17.01491,58.67112
Nodularia ,11.5933,57.9196
Nodularia ,18.26417,62.86367
Nodularia ,16.84155,58.59636
Nodularia ,12.6522,56.3155
Nodularia ,12.5166,56.2183
Nodularia ,16.73383,58.12546
Nodularia ,18.27479,60.35582
Nodularia ,17.78754,58.84164
Nodularia ,17.72662,58.93388
Nodularia ,17.72374,58.9839
Nodularia ,17.72169,59.03668
Nodularia ,17.67665,59.06857
Nodularia ,17.16621,61.27754
Nodularia ,12.9066,55.785
Nodularia ,12.796,55.869
Nodularia ,13.0366,55.6866
Nodularia ,11.6867,57.6675
Nodularia ,11.58,58.23
Nodularia ,11.4033,58.3433
Nodularia ,11.7683,57.6788
Nodularia ,16.30782,58.62837
Nodularia ,17.8602,58.85202
Nodularia ,17.40188,60.66549
Nodularia ,11.81,58.1092
Nodularia ,11.6667,57.9012
Nodularia ,18.264,62.86367
Nodularia ,11.76833,57.67883
Nodularia ,17.63661,58.82318
Nodularia ,19.80817,63.52467
Nodularia ,12.51667,56.21833
Nodularia ,12.79617,55.869
Nodularia ,12.90667,55.785
Nodularia ,12.88083,55.51333
Nodularia ,14.82367,56.1115
Nodularia ,17.62533,58.80317
Nodularia ,18.9025,60.139
Nodularia ,18.31829,59.29366
Nodularia ,17.28443,58.7154
Nodularia ,17.59841,58.86936
Nodularia ,12.65217,56.3155
Nodularia ,13.03667,55.68667
Nodularia ,13.0188,55.34712
Nodularia ,13.64303,55.38588
Nodularia ,18.4275,62.957
Nodularia ,18.77867,63.15867
Nodularia ,18.70181,60.15101
Nodularia ,19.8085,63.52467
Nodularia ,12.79608,55.869
Nodularia ,20.52082,63.69362
Nodularia ,20.32083,63.60971
Nodularia ,17.4071,60.6623
Nodularia ,17.16637,60.95757
Nodularia ,17.28398,60.69692
Nodularia ,19.81917,63.49967
Nodularia ,18.6734,59.37828
Nodularia ,18.38358,59.26851
Nodularia ,18.2635,62.86367
Nodularia ,18.34321,59.36615
Nodularia ,18.39062,59.43943
Nodularia ,18.26433,62.86317
Nodularia ,18.50733,63.06567
Nodularia ,18.87417,63.26733
Nodularia ,18.86383,63.28317
Nodularia ,18.33283,62.87683
Nodularia ,18.68117,63.233
Nodularia ,19.809,63.52467
Nodularia ,18.31974,59.29523
Nodularia ,25.3,60.25
Nodularia ,18.42203,62.95872
Nodularia ,18.58133,63.11483
