taxa,species,RCP85BIO07-2070,RCP85BIO08-2070,RCP85BIO09-2070,RCP85BIO14-2070,RCP85BIO08-2050,RCP85BIO09-2050,BO22_RCP85_2100_templtmax_ss,BO22_RCP85_2050_tempmin_ss,BO22_RCP85_2050_tempmean_ss
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.144322,-1.681,8.506
Cyanobacteria,Nodularia spumigena,255,82,202,33,74,40,21.861348,1.326,11.738
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.604915,1.449,11.138
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.120022,0.928,11.454
Cyanobacteria,Nodularia spumigena,245,87,206,25,117,52,22.049168,1.431,11.456
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.385708,0.857,10.274
Cyanobacteria,Nodularia spumigena,261,79,201,34,71,39,21.844349,1.189,11.619
Cyanobacteria,Nodularia spumigena,298,65,210,34,57,31,22.272618,0.059,9.894
Cyanobacteria,Nodularia spumigena,290,72,215,31,65,38,22.488767,0.682,10.226
Cyanobacteria,Nodularia spumigena,294,71,215,31,63,37,22.327768,0.163,9.957
Cyanobacteria,Nodularia spumigena,285,74,215,29,67,39,22.686139,1.17,10.537
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,23.041093,1.238,10.856
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.928584,0.349,9.709
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.354928,0.863,10.257
Cyanobacteria,Nodularia spumigena,286,72,217,27,65,38,22.36351,0.86,10.26
Cyanobacteria,Nodularia spumigena,286,72,217,27,64,38,22.36351,0.86,10.26
Cyanobacteria,Nodularia spumigena,286,72,218,28,105,38,22.359879,0.849,10.242
Cyanobacteria,Nodularia spumigena,288,71,217,28,104,37,22.359879,0.849,10.242
Cyanobacteria,Nodularia spumigena,283,112,192,25,102,36,22.307761,0.801,10.144
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.293194,0.772,10.13
Cyanobacteria,Nodularia spumigena,278,112,213,23,102,178,22.304784,0.775,10.139
Cyanobacteria,Nodularia spumigena,285,72,214,28,64,36,22.405044,0.797,10.251
Cyanobacteria,Nodularia spumigena,288,70,216,28,62,35,22.362362,0.877,10.241
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.889449,1.623,11.505
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.106123,1.617,11.482
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.718746,1.26,11.801
Cyanobacteria,Nodularia spumigena,261,79,201,34,71,39,21.844349,1.189,11.619
Cyanobacteria,Nodularia spumigena,292,70,214,32,63,36,22.371431,0.401,10.06
Cyanobacteria,Nodularia spumigena,256,125,211,21,77,198,22.895033,1.299,10.779
Cyanobacteria,Nodularia spumigena,290,70,214,30,63,36,22.457991,0.635,10.192
Cyanobacteria,Nodularia spumigena,263,78,199,34,70,37,21.94205,1.131,11.654
Cyanobacteria,Nodularia spumigena,343,32,178,41,128,53,21.063178,-1.088,8.769
Cyanobacteria,Nodularia spumigena,292,70,213,31,62,35,22.457455,0.354,10.087
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.718746,1.26,11.801
Cyanobacteria,Nodularia spumigena,267,87,205,28,115,44,22.712586,1.256,11.798
Cyanobacteria,Nodularia spumigena,287,73,214,29,66,39,22.675309,1.162,10.534
Cyanobacteria,Nodularia spumigena,303,99,31,31,142,20,21.717793,-0.779,9.14
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.354928,0.863,10.257
Cyanobacteria,Nodularia spumigena,286,72,217,27,65,38,22.36351,0.86,10.26
Cyanobacteria,Nodularia spumigena,286,72,217,27,64,38,22.36351,0.86,10.26
Cyanobacteria,Nodularia spumigena,286,72,218,28,105,38,22.359879,0.849,10.242
Cyanobacteria,Nodularia spumigena,288,71,217,28,104,37,22.359879,0.849,10.242
Cyanobacteria,Nodularia spumigena,330,92,24,40,135,12,21.533062,-0.693,8.961
Cyanobacteria,Nodularia spumigena,250,86,206,26,116,51,22.120022,0.928,11.454
Cyanobacteria,Nodularia spumigena,251,86,207,27,116,50,22.196947,0.759,11.468
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.050349,1.248,11.431
Cyanobacteria,Nodularia spumigena,269,81,201,33,113,38,22.169874,1.115,11.741
Cyanobacteria,Nodularia spumigena,263,78,201,33,70,38,21.840769,1.16,11.603
Cyanobacteria,Nodularia spumigena,260,80,202,33,72,39,21.880704,1.29,11.675
Cyanobacteria,Nodularia spumigena,271,78,200,35,111,37,22.207718,1.095,11.732
Cyanobacteria,Nodularia spumigena,300,68,215,33,61,36,22.187051,-0.052,9.81
Cyanobacteria,Nodularia spumigena,281,116,217,25,106,38,22.338783,0.862,10.25
Cyanobacteria,Nodularia spumigena,321,98,28,36,139,17,21.784183,-0.78,9.055
Cyanobacteria,Nodularia spumigena,269,78,203,34,70,40,21.88101,1.077,11.539
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.043683,1.083,11.667
Cyanobacteria,Nodularia spumigena,343,32,178,41,128,53,21.063178,-1.088,8.769
Cyanobacteria,Nodularia spumigena,271,78,200,35,111,37,22.207718,1.095,11.732
Cyanobacteria,Nodularia spumigena,286,73,217,27,65,38,22.385708,0.857,10.274
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Nodularia spumigena,267,87,205,28,115,44,22.712586,1.256,11.798
Cyanobacteria,Nodularia spumigena,251,86,207,27,116,50,22.196947,0.759,11.468
Cyanobacteria,Nodularia spumigena,250,86,206,26,116,51,22.120022,0.928,11.454
Cyanobacteria,Nodularia spumigena,245,87,206,25,117,52,22.049168,1.431,11.456
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.604915,1.449,11.138
Cyanobacteria,Nodularia spumigena,286,73,217,27,65,38,22.385708,0.857,10.274
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.692334,-0.659,9.197
Cyanobacteria,Nodularia spumigena,285,112,193,27,102,36,22.268392,0.724,10.096
Cyanobacteria,Nodularia spumigena,288,71,215,29,64,36,22.446103,0.786,10.262
Cyanobacteria,Nodularia spumigena,285,73,217,27,65,38,22.344172,0.812,10.224
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.718746,1.26,11.801
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.050349,1.248,11.431
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.106123,1.617,11.482
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,22.889449,1.623,11.505
Cyanobacteria,Nodularia spumigena,345,30,178,40,127,52,21.098072,-1.231,8.754
Cyanobacteria,Nodularia spumigena,349,28,130,40,126,52,21.188806,-1.505,8.743
Cyanobacteria,Nodularia spumigena,296,100,181,27,89,23,21.672715,-0.711,9.154
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.162382,-1.691,8.502
Cyanobacteria,Nodularia spumigena,251,86,207,27,116,50,22.196947,0.759,11.468
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,20.903499,-1.695,8.198
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.031334,-1.688,8.349
Cyanobacteria,Nodularia spumigena,321,98,28,36,139,17,21.784183,-0.78,9.055
Cyanobacteria,Nodularia spumigena,326,95,27,39,137,15,21.72045,-0.81,8.991
Cyanobacteria,Nodularia spumigena,322,97,28,37,139,16,21.78823,-0.796,9.02
Cyanobacteria,Nodularia spumigena,0,0,0,0,0,0,21.19894,-1.704,8.55
Cyanobacteria,Nodularia spumigena,284,109,188,24,99,177,22.089178,0.555,9.914
