taxa,species,Lon,Lat,parmax,parmean,nitratemin,nitraterange,phosphatemin,phosphaterange,ppmin,pprange,salinityrange,dissoxrange,biogeo13tmean,biogeo15tmax,bathymetry
Cyanobacteria,Nodularia spumigena,19.50667,63.53999,46.86600113,34.241,0.078,2.476,0,0.203,0.001,0.011,1.592,158.358,5.81,17.21,-6
Cyanobacteria,Nodularia spumigena,11.24,58.3537,48.73500061,34.242,0.005,2.03,0.01,0.253,0.002,0.017,13.119,130.373,9.88,19.06,-15
Cyanobacteria,Nodularia spumigena,14.8236,56.1115,46.15000153,32.357,0.033,0.252,0.224,0.33,0.002,0.008,1.101,142.721,9,19.21,-12
Cyanobacteria,Nodularia spumigena,12.8539,55.8005,47.98899841,33.5,0.019,0.274,0.265,0.213,0.003,0.005,4.716,154.483,9.53,18.43,-10
Cyanobacteria,Nodularia spumigena,12.8808,55.5133,47.57300186,33.606,0.01,0.178,0.297,0.222,0.002,0.004,2.116,154.386,9.1,18.05,-4
Cyanobacteria,Nodularia spumigena,17.62367,58.80333,47.39400101,33.614,0.01,0.632,0.11,0.354,0.001,0.006,1.387,161.813,7.9,18.57,-15
Cyanobacteria,Nodularia spumigena,11.4333,58.2598,47.83399963,32.209,0.013,2.128,0.012,0.254,0.003,0.016,13.748,134.48,9.26,19.05,-19
Cyanobacteria,Nodularia spumigena,16.51354,58.6469,45.09799957,32.781,0.028,0.851,0.109,0.374,0.002,0.008,1.316,162.278,6.73,17.12,-3
Cyanobacteria,Nodularia spumigena,16.71167,58.40898,49.53499985,34.087,0.028,0.894,0.116,0.373,0.002,0.008,1.264,161.386,7.54,17.57,-6
Cyanobacteria,Nodularia spumigena,16.72328,58.62248,46.0530014,33.529,0.029,0.852,0.109,0.374,0.002,0.008,1.319,162.372,7.12,17.39,-8
Cyanobacteria,Nodularia spumigena,16.75601,58.10678,46.75899887,32.794,0.016,0.807,0.141,0.357,0.002,0.005,1.17,158.409,7.59,17.51,-2
Cyanobacteria,Nodularia spumigena,18.91088,57.68525,50.17599869,33.663,0,0.288,0.185,0.285,0,0.003,0.63,150.021,8.64,18.99,-7
Cyanobacteria,Nodularia spumigena,18.75732,59.52487,46.83200073,32.783,0.001,0.435,0.057,0.33,0,0.004,1.177,166.798,7.77,18,-6
Cyanobacteria,Nodularia spumigena,17.7875,58.84167,48.53300095,33.017,0.023,0.618,0.105,0.356,0.002,0.011,1.315,161.722,7.7,18.15,-10
Cyanobacteria,Nodularia spumigena,17.7265,58.934,46.29000092,32.497,0.024,0.624,0.104,0.357,0.002,0.012,1.288,162.139,7.64,17.59,-10
Cyanobacteria,Nodularia spumigena,17.72367,58.98383,46.29000092,32.497,0.024,0.624,0.104,0.357,0.002,0.012,1.288,162.139,7.64,17.59,-10
Cyanobacteria,Nodularia spumigena,17.72167,59.03667,47.13000107,33.454,0.026,0.623,0.103,0.357,0.002,0.013,1.265,162.089,7.37,18.47,-5
Cyanobacteria,Nodularia spumigena,17.67667,59.0685,47.13000107,33.454,0.026,0.623,0.103,0.357,0.002,0.013,1.265,162.089,7.37,18.47,-5
Cyanobacteria,Nodularia spumigena,18.39213,59.22278,48.38399887,33.482,0.007,0.527,0.081,0.351,0,0.007,1.103,166.197,6.85,16.05,-7
Cyanobacteria,Nodularia spumigena,18.5543,59.15906,47.77700043,33.617,0.001,0.56,0.085,0.357,0,0.006,1.075,163.145,7.62,17.76,-30
Cyanobacteria,Nodularia spumigena,18.63224,59.12155,47.77700043,33.617,0.001,0.56,0.084,0.357,0,0.005,1.078,163.238,7.67,17.87,-22
