taxa,species,Lon,Lat,bio1,bio8,bio9,bio18,altitude
Cyanobacteria,Nodularia spumigena,19.50667,63.53999,2.7,13.1,-4.1,176,45
Cyanobacteria,Nodularia spumigena,11.24,58.3537,7.4,12.6,1.6,196,6
Cyanobacteria,Nodularia spumigena,14.8236,56.1115,7.8,15.5,2.3,163,3
Cyanobacteria,Nodularia spumigena,12.8539,55.8005,8.1,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.8808,55.5133,8.2,15.5,2.9,175,1
Cyanobacteria,Nodularia spumigena,17.62367,58.80333,7.1,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,11.4333,58.2598,7.2,12.3,1.5,200,24
Cyanobacteria,Nodularia spumigena,16.51354,58.6469,6.7,14.9,0.8,176,35
Cyanobacteria,Nodularia spumigena,16.71167,58.40898,7,15.1,1.1,167,17
Cyanobacteria,Nodularia spumigena,16.72328,58.62248,6.7,14.9,0.7,176,45
Cyanobacteria,Nodularia spumigena,16.75601,58.10678,7.1,15.3,1.2,160,13
Cyanobacteria,Nodularia spumigena,18.91088,57.68525,7.2,8.2,5.1,138,11
Cyanobacteria,Nodularia spumigena,18.75732,59.52487,6.2,14.9,0.2,153,10
Cyanobacteria,Nodularia spumigena,17.7875,58.84167,7.1,15.4,1.1,152,10
Cyanobacteria,Nodularia spumigena,17.7265,58.934,7,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72367,58.98383,7,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72167,59.03667,6.9,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,17.67667,59.0685,6.9,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,18.39213,59.22278,6.8,15.4,0.8,158,25
Cyanobacteria,Nodularia spumigena,18.5543,59.15906,6.9,15.4,5.2,150,6
Cyanobacteria,Nodularia spumigena,18.63224,59.12155,6.7,15.3,5,150,10
Cyanobacteria,Nodularia spumigena,17.42774,58.77192,6.9,15.2,0.9,160,19
Cyanobacteria,Nodularia spumigena,17.6225,59.02448,6.9,15.3,0.9,165,16
Cyanobacteria,Nodularia spumigena,13.643,55.3858,8,15.5,2.7,177,9
Cyanobacteria,Nodularia spumigena,13.0188,55.3471,8.1,15.5,2.8,172,5
Cyanobacteria,Nodularia spumigena,12.6521,56.3155,7.6,15.3,2,207,34
Cyanobacteria,Nodularia spumigena,11.4333,58.2583,7.2,12.3,1.5,200,24
Cyanobacteria,Nodularia spumigena,16.64293,58.43786,6.8,15,0.9,172,28
Cyanobacteria,Nodularia spumigena,18.13118,57.40002,7.5,8.6,1.6,131,7
Cyanobacteria,Nodularia spumigena,17.01491,58.67112,6.9,15.2,0.9,171,13
Cyanobacteria,Nodularia spumigena,11.5933,57.9196,7.1,12.4,1.4,196,33
Cyanobacteria,Nodularia spumigena,18.26417,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,16.84155,58.59636,6.7,15,0.7,174,44
Cyanobacteria,Nodularia spumigena,12.6522,56.3155,7.6,15.3,2,207,34
Cyanobacteria,Nodularia spumigena,12.5166,56.2183,7.8,15.5,2.1,201,8
Cyanobacteria,Nodularia spumigena,16.73383,58.12546,7.1,15.2,1.2,162,16
Cyanobacteria,Nodularia spumigena,18.27479,60.35582,5.4,14.3,-0.8,176,17
Cyanobacteria,Nodularia spumigena,17.78754,58.84164,7.1,15.4,1.1,152,10
Cyanobacteria,Nodularia spumigena,17.72662,58.93388,7,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72374,58.9839,7,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72169,59.03668,6.9,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,17.67665,59.06857,6.9,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,17.16621,61.27754,4.5,13.8,-1.6,196,9
Cyanobacteria,Nodularia spumigena,12.9066,55.785,8.1,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.796,55.869,8,15.5,2.6,192,10
Cyanobacteria,Nodularia spumigena,13.0366,55.6866,8,15.4,2.7,184,5
Cyanobacteria,Nodularia spumigena,11.6867,57.6675,7.2,12.5,1.4,192,20
Cyanobacteria,Nodularia spumigena,11.58,58.23,7.1,12.3,1.4,200,37
Cyanobacteria,Nodularia spumigena,11.4033,58.3433,7.2,12.3,1.4,201,30
Cyanobacteria,Nodularia spumigena,11.7683,57.6788,7.2,12.5,1.4,198,16
Cyanobacteria,Nodularia spumigena,16.30782,58.62837,6.8,15,0.9,177,14
Cyanobacteria,Nodularia spumigena,17.8602,58.85202,7.1,15.5,1.1,151,15
Cyanobacteria,Nodularia spumigena,17.40188,60.66549,5.1,14.1,-1.1,191,7
Cyanobacteria,Nodularia spumigena,11.81,58.1092,7,8.1,1.4,203,37
Cyanobacteria,Nodularia spumigena,11.6667,57.9012,7.2,12.4,1.5,197,17
Cyanobacteria,Nodularia spumigena,18.264,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,11.76833,57.67883,7.2,12.5,1.4,198,16
Cyanobacteria,Nodularia spumigena,17.63661,58.82318,7.1,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,19.80817,63.52467,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,12.51667,56.21833,7.8,15.5,2.1,201,8
Cyanobacteria,Nodularia spumigena,12.79617,55.869,8,15.5,2.6,192,10
Cyanobacteria,Nodularia spumigena,12.90667,55.785,8.1,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.88083,55.51333,8.2,15.5,2.9,175,1
Cyanobacteria,Nodularia spumigena,14.82367,56.1115,7.8,15.5,2.3,163,3
Cyanobacteria,Nodularia spumigena,17.62533,58.80317,7.1,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,18.9025,60.139,5.5,14.4,-0.5,162,9
Cyanobacteria,Nodularia spumigena,18.31829,59.29366,6.9,15.5,0.8,165,23
Cyanobacteria,Nodularia spumigena,17.28443,58.7154,7,15.3,1,165,11
Cyanobacteria,Nodularia spumigena,17.59841,58.86936,7,15.4,1,158,7
Cyanobacteria,Nodularia spumigena,12.65217,56.3155,7.6,15.3,2,207,34
Cyanobacteria,Nodularia spumigena,13.03667,55.68667,8,15.4,2.7,184,5
Cyanobacteria,Nodularia spumigena,13.0188,55.34712,8.1,15.5,2.8,172,5
Cyanobacteria,Nodularia spumigena,13.64303,55.38588,8,15.5,2.7,177,9
Cyanobacteria,Nodularia spumigena,18.4275,62.957,3.2,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,18.77867,63.15867,3.3,13.5,-3.4,177,1
Cyanobacteria,Nodularia spumigena,18.70181,60.15101,5.5,14.4,-0.6,165,22
Cyanobacteria,Nodularia spumigena,19.8085,63.52467,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,12.79608,55.869,8,15.5,2.6,192,10
Cyanobacteria,Nodularia spumigena,20.52082,63.69362,2.9,13.2,1.5,163,4
Cyanobacteria,Nodularia spumigena,20.32083,63.60971,2.9,13.1,-4,165,4
Cyanobacteria,Nodularia spumigena,17.4071,60.6623,5.1,14.1,-1.1,191,7
Cyanobacteria,Nodularia spumigena,17.16637,60.95757,4.8,14,-1.4,196,10
Cyanobacteria,Nodularia spumigena,17.28398,60.69692,5,14,-1.2,193,11
Cyanobacteria,Nodularia spumigena,19.81917,63.49967,3,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.6734,59.37828,6.5,15.1,4.8,153,12
Cyanobacteria,Nodularia spumigena,18.38358,59.26851,6.7,15.4,0.7,162,30
Cyanobacteria,Nodularia spumigena,18.2635,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.34321,59.36615,6.8,15.4,0.7,163,22
Cyanobacteria,Nodularia spumigena,18.39062,59.43943,6.6,15.2,0.5,166,33
Cyanobacteria,Nodularia spumigena,18.26433,62.86317,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.50733,63.06567,3.3,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.87417,63.26733,3,13.3,-3.7,179,33
Cyanobacteria,Nodularia spumigena,18.86383,63.28317,3,13.3,-3.7,179,33
Cyanobacteria,Nodularia spumigena,18.33283,62.87683,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.68117,63.233,3.1,13.4,-3.6,182,34
Cyanobacteria,Nodularia spumigena,19.809,63.52467,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.31974,59.29523,6.9,15.5,0.8,165,23
Cyanobacteria,Nodularia spumigena,25.3,60.25,4.9,10.4,-1.9,194,16
Cyanobacteria,Nodularia spumigena,18.42203,62.95872,3.2,13.4,-3.4,183,46
