taxa,species,decimalLongitude,decimalLatitude,bathymetry,biogeo13mean,biogeo15tmax,parmax,salinityrange,nitratemean,nitraterange,phosphaterange,phosphateltmin,ppmean,ppmin,bio8,bio9,bio18,alt
Cyanobacteria,Nodularia spumigena,19.50667,63.53999,-6,5.81,17.21,46.86600113,1.592,0.979,2.476,0.203,0.001,0.005,0.001,13.1,-4.1,176,45
Cyanobacteria,Nodularia spumigena,11.24,58.3537,-15,9.88,19.06,48.73500061,13.119,0.424,2.03,0.253,0.051,0.008,0.002,12.6,1.6,196,6
Cyanobacteria,Nodularia spumigena,14.8236,56.1115,-12,9,19.21,46.15000153,1.101,0.089,0.252,0.33,0.324,0.005,0.002,15.5,2.3,163,3
Cyanobacteria,Nodularia spumigena,12.8539,55.8005,-10,9.53,18.43,47.98899841,4.716,0.082,0.274,0.213,0.336,0.004,0.003,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.8808,55.5133,-4,9.1,18.05,47.57300186,2.116,0.05,0.178,0.222,0.377,0.003,0.002,15.5,2.9,175,1
Cyanobacteria,Nodularia spumigena,17.62367,58.80333,-15,7.9,18.57,47.39400101,1.387,0.11,0.632,0.354,0.178,0.003,0.001,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,11.4333,58.2598,-19,9.26,19.05,47.83399963,13.748,0.472,2.128,0.254,0.056,0.009,0.003,12.3,1.5,200,24
Cyanobacteria,Nodularia spumigena,16.51354,58.6469,-3,6.73,17.12,45.09799957,1.316,0.191,0.851,0.374,0.187,0.005,0.002,14.9,0.8,176,35
Cyanobacteria,Nodularia spumigena,16.71167,58.40898,-6,7.54,17.57,49.53499985,1.264,0.2,0.894,0.373,0.193,0.005,0.002,15.1,1.1,167,17
Cyanobacteria,Nodularia spumigena,16.72328,58.62248,-8,7.12,17.39,46.0530014,1.319,0.193,0.852,0.374,0.186,0.005,0.002,14.9,0.7,176,45
Cyanobacteria,Nodularia spumigena,16.75601,58.10678,-2,7.59,17.51,46.75899887,1.17,0.153,0.807,0.357,0.212,0.003,0.002,15.3,1.2,160,13
Cyanobacteria,Nodularia spumigena,18.91088,57.68525,-7,8.64,18.99,50.17599869,0.63,0.02,0.288,0.285,0.262,0.001,0,8.2,5.1,138,11
Cyanobacteria,Nodularia spumigena,18.75732,59.52487,-6,7.77,18,46.83200073,1.177,0.036,0.435,0.33,0.129,0.001,0,14.9,0.2,153,10
Cyanobacteria,Nodularia spumigena,17.7875,58.84167,-10,7.7,18.15,48.53300095,1.315,0.142,0.618,0.356,0.172,0.005,0.002,15.4,1.1,152,10
Cyanobacteria,Nodularia spumigena,17.7265,58.934,-10,7.64,17.59,46.29000092,1.288,0.149,0.624,0.357,0.171,0.005,0.002,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72367,58.98383,-10,7.64,17.59,46.29000092,1.288,0.149,0.624,0.357,0.171,0.005,0.002,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72167,59.03667,-5,7.37,18.47,47.13000107,1.265,0.154,0.623,0.357,0.17,0.005,0.002,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,17.67667,59.0685,-5,7.37,18.47,47.13000107,1.265,0.154,0.623,0.357,0.17,0.005,0.002,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,18.39213,59.22278,-7,6.85,16.05,48.38399887,1.103,0.08,0.527,0.351,0.153,0.003,0,15.4,0.8,158,25
Cyanobacteria,Nodularia spumigena,18.5543,59.15906,-30,7.62,17.76,47.77700043,1.075,0.073,0.56,0.357,0.157,0.002,0,15.4,5.2,150,6
Cyanobacteria,Nodularia spumigena,18.63224,59.12155,-22,7.67,17.87,47.77700043,1.078,0.071,0.56,0.357,0.157,0.002,0,15.3,5,150,10
Cyanobacteria,Nodularia spumigena,17.42774,58.77192,-15,7.5,17.45,47.61000061,1.419,0.116,0.669,0.357,0.182,0.003,0.002,15.2,0.9,160,19
Cyanobacteria,Nodularia spumigena,17.6225,59.02448,-2,6.38,17.13,44.85699844,1.275,0.15,0.624,0.357,0.171,0.005,0.002,15.3,0.9,165,16
Cyanobacteria,Nodularia spumigena,13.643,55.3858,-15,9.34,18.83,47.56299973,1.321,0.004,0.091,0.246,0.386,0.001,0,15.5,2.7,177,9
Cyanobacteria,Nodularia spumigena,13.0188,55.3471,-10,9.39,18.63,48.79100037,1.829,0.018,0.098,0.226,0.383,0.002,0.001,15.5,2.8,172,5
Cyanobacteria,Nodularia spumigena,12.6521,56.3155,-20,9.88,19.34,47.65800095,11.721,0.208,0.668,0.159,0.122,0.008,0.004,15.3,2,207,34
Cyanobacteria,Nodularia spumigena,11.4333,58.2583,-19,9.26,19.05,47.83399963,13.748,0.472,2.128,0.254,0.056,0.009,0.003,12.3,1.5,200,24
Cyanobacteria,Nodularia spumigena,16.64293,58.43786,-2,7.39,18.8,43.81200027,1.274,0.201,0.883,0.374,0.189,0.005,0.002,15,0.9,172,28
Cyanobacteria,Nodularia spumigena,18.13118,57.40002,-9,8.9,18.7,50.19800186,0.757,0.058,0.642,0.297,0.254,0.001,0,8.6,1.6,131,7
Cyanobacteria,Nodularia spumigena,17.01491,58.67112,-1,6.78,16.45,43.47600174,1.337,0.163,0.777,0.369,0.184,0.004,0.002,15.2,0.9,171,13
Cyanobacteria,Nodularia spumigena,11.5933,57.9196,-2,9.68,20.08,46.43299866,15.229,0.807,2.499,0.256,0.058,0.018,0.004,12.4,1.4,196,33
Cyanobacteria,Nodularia spumigena,18.26417,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,16.84155,58.59636,-15,7.89,18.75,45.07500076,1.321,0.192,0.839,0.373,0.184,0.005,0.002,15,0.7,174,44
Cyanobacteria,Nodularia spumigena,12.6522,56.3155,-20,9.88,19.34,47.65800095,11.721,0.208,0.668,0.159,0.122,0.008,0.004,15.3,2,207,34
Cyanobacteria,Nodularia spumigena,12.5166,56.2183,-6,9.77,18.85,47.36100006,11.685,0.203,0.684,0.168,0.125,0.009,0.004,15.5,2.1,201,8
Cyanobacteria,Nodularia spumigena,16.73383,58.12546,-3,6.79,16.08,45.51300049,1.169,0.153,0.807,0.357,0.212,0.003,0.002,15.2,1.2,162,16
Cyanobacteria,Nodularia spumigena,18.27479,60.35582,-8,7.3,17.39,47.35900116,0.542,0.145,0.855,0.206,0.029,0.003,0,14.3,-0.8,176,17
Cyanobacteria,Nodularia spumigena,17.78754,58.84164,-10,7.7,18.15,48.53300095,1.315,0.142,0.618,0.356,0.172,0.005,0.002,15.4,1.1,152,10
Cyanobacteria,Nodularia spumigena,17.72662,58.93388,-10,7.64,17.59,46.29000092,1.288,0.149,0.624,0.357,0.171,0.005,0.002,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72374,58.9839,-10,7.64,17.59,46.29000092,1.288,0.149,0.624,0.357,0.171,0.005,0.002,15.4,1,160,17
Cyanobacteria,Nodularia spumigena,17.72169,59.03668,-5,7.37,18.47,47.13000107,1.265,0.154,0.623,0.357,0.17,0.005,0.002,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,17.67665,59.06857,-5,7.37,18.47,47.13000107,1.265,0.154,0.623,0.357,0.17,0.005,0.002,15.4,0.9,164,20
Cyanobacteria,Nodularia spumigena,17.16621,61.27754,-2,6,17.79,45.74300003,0.636,0.454,1.586,0.19,0.007,0.005,0.001,13.8,-1.6,196,9
Cyanobacteria,Nodularia spumigena,12.9066,55.785,-10,9.53,18.43,47.98899841,4.716,0.082,0.274,0.213,0.336,0.004,0.003,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.796,55.869,-9,9.53,18.15,46.73199844,8.641,0.145,0.52,0.19,0.214,0.007,0.003,15.5,2.6,192,10
Cyanobacteria,Nodularia spumigena,13.0366,55.6866,-5,9.46,18.8,50.62099838,1.905,0.047,0.166,0.222,0.378,0.003,0.002,15.4,2.7,184,5
Cyanobacteria,Nodularia spumigena,11.6867,57.6675,-8,10.28,18.76,47.29000092,16.321,0.714,2.271,0.244,0.072,0.016,0.004,12.5,1.4,192,20
Cyanobacteria,Nodularia spumigena,11.58,58.23,-5,14.06,18.21,46.51699829,14.094,0.518,2.206,0.254,0.059,0.011,0.003,12.3,1.4,200,37
Cyanobacteria,Nodularia spumigena,11.4033,58.3433,-4,9.07,19.68,48.50799942,13.147,0.438,2.052,0.254,0.053,0.008,0.003,12.3,1.4,201,30
Cyanobacteria,Nodularia spumigena,11.7683,57.6788,-5,9.19,19.21,47.29000092,16.299,0.735,2.282,0.237,0.071,0.017,0.004,12.5,1.4,198,16
Cyanobacteria,Nodularia spumigena,16.30782,58.62837,-6,7.33,18.6,44.23099899,1.313,0.188,0.848,0.374,0.187,0.005,0.002,15,0.9,177,14
Cyanobacteria,Nodularia spumigena,17.8602,58.85202,-1,7.59,18.94,48.53300095,1.287,0.149,0.612,0.357,0.169,0.005,0.002,15.5,1.1,151,15
Cyanobacteria,Nodularia spumigena,17.40188,60.66549,-9,6.87,17.59,46.19800186,0.513,0.573,1.673,0.193,0.009,0.007,0.002,14.1,-1.1,191,7
Cyanobacteria,Nodularia spumigena,11.81,58.1092,-3,8.64,19.54,48.12099838,14.624,0.672,2.384,0.253,0.058,0.014,0.004,8.1,1.4,203,37
Cyanobacteria,Nodularia spumigena,11.6667,57.9012,-3,9.53,20.48,48.93799973,15.825,0.967,2.664,0.257,0.053,0.021,0.004,12.4,1.5,197,17
Cyanobacteria,Nodularia spumigena,18.264,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,11.76833,57.67883,-5,9.19,19.21,47.29000092,16.299,0.735,2.282,0.237,0.071,0.017,0.004,12.5,1.4,198,16
Cyanobacteria,Nodularia spumigena,17.63661,58.82318,-15,7.9,18.57,47.39400101,1.387,0.11,0.632,0.354,0.178,0.003,0.001,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,19.80817,63.52467,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,12.51667,56.21833,-6,9.77,18.85,47.36100006,11.685,0.203,0.684,0.168,0.125,0.009,0.004,15.5,2.1,201,8
Cyanobacteria,Nodularia spumigena,12.79617,55.869,-9,9.53,18.15,46.73199844,8.641,0.145,0.52,0.19,0.214,0.007,0.003,15.5,2.6,192,10
Cyanobacteria,Nodularia spumigena,12.90667,55.785,-10,9.53,18.43,47.98899841,4.716,0.082,0.274,0.213,0.336,0.004,0.003,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.88083,55.51333,-4,9.1,18.05,47.57300186,2.116,0.05,0.178,0.222,0.377,0.003,0.002,15.5,2.9,175,1
Cyanobacteria,Nodularia spumigena,14.82367,56.1115,-12,9,19.21,46.15000153,1.101,0.089,0.252,0.33,0.324,0.005,0.002,15.5,2.3,163,3
