taxa,species,decimalLongitude,decimalLatitude,presence
Cyanobacteria,Nodularia,19.50667,63.53999,1
Cyanobacteria,Nodularia,11.24,58.3537,1
Cyanobacteria,Nodularia,14.8236,56.1115,1
Cyanobacteria,Nodularia,12.8539,55.8005,1
Cyanobacteria,Nodularia,12.8808,55.5133,1
Cyanobacteria,Nodularia,17.62367,58.80333,1
Cyanobacteria,Nodularia,11.4333,58.2598,1
Cyanobacteria,Nodularia,16.51354,58.6469,1
Cyanobacteria,Nodularia,16.71167,58.40898,1
Cyanobacteria,Nodularia,16.72328,58.62248,1
Cyanobacteria,Nodularia,16.75601,58.10678,1
Cyanobacteria,Nodularia,18.91088,57.68525,1
Cyanobacteria,Nodularia,18.75732,59.52487,1
Cyanobacteria,Nodularia,17.7875,58.84167,1
Cyanobacteria,Nodularia,17.7265,58.934,1
Cyanobacteria,Nodularia,17.72367,58.98383,1
Cyanobacteria,Nodularia,17.72167,59.03667,1
Cyanobacteria,Nodularia,17.67667,59.0685,1
Cyanobacteria,Nodularia,18.39213,59.22278,1
Cyanobacteria,Nodularia,18.5543,59.15906,1
Cyanobacteria,Nodularia,18.63224,59.12155,1
Cyanobacteria,Nodularia,17.42774,58.77192,1
Cyanobacteria,Nodularia,17.6225,59.02448,1
Cyanobacteria,Nodularia,13.643,55.3858,1
Cyanobacteria,Nodularia,13.0188,55.3471,1
Cyanobacteria,Nodularia,12.6521,56.3155,1
Cyanobacteria,Nodularia,11.4333,58.2583,1
Cyanobacteria,Nodularia,16.64293,58.43786,1
Cyanobacteria,Nodularia,18.13118,57.40002,1
Cyanobacteria,Nodularia,17.01491,58.67112,1
Cyanobacteria,Nodularia,11.5933,57.9196,1
Cyanobacteria,Nodularia,18.26417,62.86367,1
Cyanobacteria,Nodularia,16.84155,58.59636,1
Cyanobacteria,Nodularia,12.6522,56.3155,1
Cyanobacteria,Nodularia,12.5166,56.2183,1
Cyanobacteria,Nodularia,16.73383,58.12546,1
Cyanobacteria,Nodularia,18.27479,60.35582,1
Cyanobacteria,Nodularia,17.78754,58.84164,1
Cyanobacteria,Nodularia,17.72662,58.93388,1
Cyanobacteria,Nodularia,17.72374,58.9839,1
Cyanobacteria,Nodularia,17.72169,59.03668,1
Cyanobacteria,Nodularia,17.67665,59.06857,1
Cyanobacteria,Nodularia,17.16621,61.27754,1
Cyanobacteria,Nodularia,12.9066,55.785,1
Cyanobacteria,Nodularia,12.796,55.869,1
Cyanobacteria,Nodularia,13.0366,55.6866,1
Cyanobacteria,Nodularia,11.6867,57.6675,1
Cyanobacteria,Nodularia,11.58,58.23,1
Cyanobacteria,Nodularia,11.4033,58.3433,1
Cyanobacteria,Nodularia,11.7683,57.6788,1
Cyanobacteria,Nodularia,16.30782,58.62837,1
Cyanobacteria,Nodularia,17.8602,58.85202,1
Cyanobacteria,Nodularia,17.40188,60.66549,1
Cyanobacteria,Nodularia,11.81,58.1092,1
Cyanobacteria,Nodularia,11.6667,57.9012,1
Cyanobacteria,Nodularia,18.264,62.86367,1
Cyanobacteria,Nodularia,11.76833,57.67883,1
Cyanobacteria,Nodularia,17.63661,58.82318,1
Cyanobacteria,Nodularia,19.80817,63.52467,1
Cyanobacteria,Nodularia,12.51667,56.21833,1
Cyanobacteria,Nodularia,12.79617,55.869,1
Cyanobacteria,Nodularia,12.90667,55.785,1
Cyanobacteria,Nodularia,12.88083,55.51333,1
Cyanobacteria,Nodularia,14.82367,56.1115,1
Cyanobacteria,Nodularia,17.62533,58.80317,1
Cyanobacteria,Nodularia,18.9025,60.139,1
